,F1,F2,F3,F4,F5,F6,F7,RUL
count,14845.0,14845.0,14845.0,14845.0,14845.0,14845.0,14845.0,14845.0
mean,1570.426875715729,469.43845449582096,3.905428090266083,3.581319636241159,2966.095532678773,3803.355292691141,8299.284821825531,553.4873021219265
std,577.2200848826532,181.06740567038895,0.07607181792562001,0.11949201074115472,1240.6124290074927,1365.0304106461406,677.6001064932772,321.6709697868105
min,168.0,144.6785714291036,3.65,3.206,-70.7626667059958,44.32,3509.92,1.0
25%,1166.91,319.59999999962747,3.845,3.492,1823.803571429104,2564.28,7834.78,277.0
50%,1550.31,437.5714285708964,3.905,3.575,2906.320000000298,3788.34,8305.95,550.0
75%,1897.62,594.4000000003725,3.97,3.664,4052.3439999995753,4976.38,8750.44,838.0
max,8414.98,1435.0080000000053,4.255,4.257,5508.993000000002,13780.12,14986.88,1133.0
